ToolName,ProcessNames,RegistryPaths,FilePaths,Description,ConcernLevel,RecommendedAction
TeamViewer,"TeamViewer.exe,TeamViewer_Service.exe,tv_w32.exe,tv_x64.exe","HKLM:\SOFTWARE\TeamViewer,HKLM:\SOFTWARE\WOW6432Node\TeamViewer,HKCU:\SOFTWARE\TeamViewer","${env:ProgramFiles}\TeamViewer,${env:ProgramFiles(x86)}\TeamViewer","Popular remote access software used by businesses and individuals for IT support and remote work.",LOW,"Verify you or your IT department installed this. Remove if unknown."
AnyDesk,"AnyDesk.exe,AnyDeskService.exe","HKLM:\SOFTWARE\AnyDesk,HKLM:\SOFTWARE\WOW6432Node\AnyDesk,HKCU:\SOFTWARE\AnyDesk","${env:ProgramFiles}\AnyDesk,${env:ProgramFiles(x86)}\AnyDesk,${env:USERPROFILE}\AppData\Local\AnyDesk","Professional remote desktop software commonly used by IT support teams and businesses for accessing computers remotely.",LOW,"Check if this was installed by you or your company's IT department."
Chrome Remote Desktop,"remoting_host.exe,chrome_remote_desktop_host.exe,remoting_core.dll","HKLM:\SOFTWARE\Google\Chrome Remote Desktop,HKCU:\SOFTWARE\Google\Chrome Remote Desktop","${env:ProgramFiles}\Google\Chrome Remote Desktop,${env:ProgramFiles(x86)}\Google\Chrome Remote Desktop,C:\ProgramData\Google\Chrome Remote Desktop","Google's remote access service (Chromoting) that allows remote desktop access through Chrome browser.",MEDIUM,"Verify you intentionally enabled Chrome Remote Desktop. Check if legitimate tech support installed this. Remove if unauthorized."
LogMeIn,"LogMeIn.exe,LMIGuardianSvc.exe,LogMeInSystray.exe,ramaint.exe","HKLM:\SOFTWARE\LogMeIn,HKLM:\SOFTWARE\WOW6432Node\LogMeIn","${env:ProgramFiles}\LogMeIn,${env:ProgramFiles(x86)}\LogMeIn","Professional remote access and IT management platform used by businesses for IT support and system administration.",MEDIUM,"Verify with your IT department that this is authorized business software."
LogMeIn Resolve,"GoToResolve.exe,resolve.exe,gotomeeting.exe,gotomypc.exe,GoToOpener.exe","HKLM:\SOFTWARE\LogMeIn,HKLM:\SOFTWARE\GoTo","${env:ProgramFiles}\LogMeIn,${env:ProgramFiles(x86)}\LogMeIn","GoTo remote access tool (formerly LogMeIn Resolve) used for IT support and remote assistance. Can be legitimate or used maliciously.",MEDIUM,"Verify this was installed by legitimate IT support. Remove immediately if installed by unknown callers or scammers."
ConnectWise Control,"ConnectWiseControl.ClientService.exe,ScreenConnect.ClientService.exe,ScreenConnect.WindowsClient.exe","","${env:ProgramFiles}\ScreenConnect Client*,${env:ProgramFiles(x86)}\ScreenConnect Client*,${env:ProgramFiles}\ConnectWise Control,${env:ProgramFiles(x86)}\ConnectWise Control","Professional IT management platform (formerly ScreenConnect) used by managed service providers to monitor and control business computers.",MEDIUM,"Verify your business has a contract with an IT service provider. Remove if unauthorized."
Splashtop,"SRService.exe,SRManager.exe,SRServer.exe,SplashtopRemoteService.exe","","${env:ProgramFiles}\Splashtop\Splashtop Remote,${env:ProgramFiles(x86)}\Splashtop\Splashtop Remote,${env:ProgramFiles}\Splashtop,${env:ProgramFiles(x86)}\Splashtop","Commercial remote desktop software used for remote access and IT support. Popular in business environments.",MEDIUM,"Verify this was installed by your IT department or for legitimate remote access needs."
VNC Connect,"vncserver.exe,winvnc.exe,vncconnect.exe,vncviewer.exe","HKLM:\SOFTWARE\RealVNC,HKLM:\SOFTWARE\TightVNC,HKLM:\SOFTWARE\UltraVNC","${env:ProgramFiles}\RealVNC,${env:ProgramFiles(x86)}\RealVNC","Virtual Network Computing software that allows remote desktop access. Often used by IT professionals and advanced users.",MEDIUM,"Verify this was intentionally installed for legitimate remote access needs."
UltraVNC,"winvnc.exe,uvnc_service.exe,UltraVNC.exe","HKLM:\SOFTWARE\UltraVNC","${env:ProgramFiles}\UltraVNC,${env:ProgramFiles(x86)}\UltraVNC","Open source VNC software for remote desktop access and control.",MEDIUM,"Verify this was intentionally installed for legitimate remote access needs."
TightVNC,"tvnserver.exe,winvnc.exe,TightVNC.exe","HKLM:\SOFTWARE\TightVNC","${env:ProgramFiles}\TightVNC,${env:ProgramFiles(x86)}\TightVNC","Free VNC software for remote desktop access and control.",MEDIUM,"Verify this was intentionally installed for legitimate remote access needs."
RealVNC,"vncserver.exe,winvnc4.exe,vncviewer.exe","HKLM:\SOFTWARE\RealVNC","${env:ProgramFiles}\RealVNC,${env:ProgramFiles(x86)}\RealVNC","Commercial VNC software for secure remote desktop access.",MEDIUM,"Verify this was intentionally installed for legitimate remote access needs."
Radmin,"Radmin.exe,rserver30.exe,r_server.exe","HKLM:\SOFTWARE\Radmin","${env:ProgramFiles}\Radmin,${env:ProgramFiles(x86)}\Radmin","Remote desktop software popular in enterprise environments for IT administration.",MEDIUM,"Verify this was installed by your IT department for system administration."
RemotePC,"RPCService.exe,RemotePC.exe","HKLM:\SOFTWARE\RemotePC","${env:ProgramFiles}\RemotePC,${env:ProgramFiles(x86)}\RemotePC","Commercial remote desktop service for accessing computers remotely.",MEDIUM,"Verify you subscribed to this service intentionally for remote access needs."
PDQ Connect,"PDQConnect.exe,PDQDeploy.exe,PDQInventory.exe,PDQService.exe","HKLM:\SOFTWARE\Admin Arsenal,HKLM:\SOFTWARE\PDQ","${env:ProgramFiles}\Admin Arsenal,${env:ProgramFiles(x86)}\Admin Arsenal","Professional IT management tool used by system administrators for remote computer management and software deployment.",MEDIUM,"Verify your IT department installed this for system management. Remove if found on personal computers."
Mesh Agent,"MeshAgent.exe,meshcentral.exe,meshcmd.exe,MeshService.exe","HKLM:\SOFTWARE\Open Source,HKLM:\SOFTWARE\MeshCentral","${env:ProgramFiles}\Mesh Agent,${env:ProgramFiles(x86)}\Mesh Agent","Remote management agent (often MeshCentral) used for IT administration and remote computer control in business environments.",HIGH,"Immediately verify this is authorized by your IT department or service provider. Remove if unauthorized."
Kaseya,"KaseyaRemoteControl.exe,AgentMon.exe","HKLM:\SOFTWARE\Kaseya","${env:ProgramFiles}\Kaseya,${env:ProgramFiles(x86)}\Kaseya","Enterprise IT management platform used by managed service providers to monitor, maintain, and secure business computers.",HIGH,"Immediately verify with your business that there's an authorized IT service contract."
